2026-07-25 16:50:25,337 | DEBUG | user_logger | device is cuda

2026-07-25 16:50:25,574 | DEBUG | user_logger | Epoch: 1, Loss: 5.588468313217163
2026-07-25 16:50:25,577 | DEBUG | user_logger | Epoch: 2, Loss: 4.8398425579071045
2026-07-25 16:50:25,580 | DEBUG | user_logger | Epoch: 3, Loss: 2.8739211559295654
2026-07-25 16:50:25,582 | DEBUG | user_logger | Epoch: 4, Loss: 1.6769763827323914
2026-07-25 16:50:25,585 | DEBUG | user_logger | Epoch: 5, Loss: 1.3737607598304749
2026-07-25 16:50:25,587 | DEBUG | user_logger | Epoch: 6, Loss: 1.765256941318512
2026-07-25 16:50:25,590 | DEBUG | user_logger | Epoch: 7, Loss: 0.9813179075717926
2026-07-25 16:50:25,592 | DEBUG | user_logger | Epoch: 8, Loss: 0.7156407833099365
2026-07-25 16:50:25,595 | DEBUG | user_logger | Epoch: 9, Loss: 1.1214064955711365
2026-07-25 16:50:25,597 | DEBUG | user_logger | Epoch: 10, Loss: 1.0622080862522125
2026-07-25 16:50:25,599 | DEBUG | user_logger | Epoch: 11, Loss: 0.791254073381424
2026-07-25 16:50:25,601 | DEBUG | user_logger | Epoch: 12, Loss: 0.8236232995986938
2026-07-25 16:50:25,603 | DEBUG | user_logger | Epoch: 13, Loss: 0.7028638869524002
2026-07-25 16:50:25,606 | DEBUG | user_logger | Epoch: 14, Loss: 0.7587026953697205
2026-07-25 16:50:25,608 | DEBUG | user_logger | Epoch: 15, Loss: 0.5885089039802551
2026-07-25 16:50:25,610 | DEBUG | user_logger | Epoch: 16, Loss: 0.635821670293808
2026-07-25 16:50:25,612 | DEBUG | user_logger | Epoch: 17, Loss: 0.633797898888588
2026-07-25 16:50:25,614 | DEBUG | user_logger | Epoch: 18, Loss: 0.544476792216301
2026-07-25 16:50:25,616 | DEBUG | user_logger | Epoch: 19, Loss: 0.5191884338855743
2026-07-25 16:50:25,618 | DEBUG | user_logger | Epoch: 20, Loss: 0.37685784697532654
